nome;rating;preco;pais;tipo;descricao;uvas;vinicola;olfativo;gustativo;harmonia;uva1;varietal;price;ano;consumo;texto
Tenuta SantAntonio D.O.C.G. Amarone Della Valpolicella 2015;0.0;R$350,91;Itália;Tinto;Meio Seco/Demi-Sec;Corvina (70.00%), Croatina (5.00%), Oseleta (5.00%), Rondinella (20.00%);Tenuta Sant'Antonio;Frutas vermelhas maduras, frutas negras maduras, tabaco, chocolate;Intenso, potente, taninos presentes, boa acidez, final persistente;Coelho à caçadora, polenta ao ragu de carne com trufas brancas, fraldinha grelhada com arroz biro biro, mignon com crosta de mostarda e batata frita, costeletas de cordeiro com risoto de parmesão, mix de queijos curados.;Corvina;N;350.91;2015;0;'Itália' 'Tinto' 'Meio Seco/Demi-Sec' 'Corvina'
Oxford Landing Cabernet Shiraz 2016;3.5;R$101,91;Austrália;Tinto;Seco;Cabernet Sauvignon, Shiraz;Oxford Landing Estates;Frutas negras frescas, defumado, especiarias;Corpo de leve para médio, boa acidez, taninos presentes, boa persistência;Hambúrguer com molho de iogurte, batata Hasselback com queijo e bacon, espaguete ao molho de linguiça fresca, arroz de forno com frango cremoso, berinjela à parmegiana, pizza.;Cabernet Sauvignon;N;101.91;2016;0;'Austrália' 'Tinto' 'Seco' 'Cabernet Sauvignon'
Espumante De Vergy Blanc De Blancs Brut 200ml;0.0;R$31,90;França;Espumante;Brut;Chardonnay, Ugni Blanc, Colombard;GDV;Frutas brancas frescas, frutas cítricas, floral, mineral;Frutado, fresco, leve;Rolinhos de abobrinha com queijo, canapés variados, coxinha de frango, bruschettas variadas, casquinha de siri, espetinho de camarão.;Chardonnay;N;31.9;0;0;'França' 'Espumante' 'Brut' 'Chardonnay'
Tokaji Pajzos Aszú 6 Puttonyos 2013 500 ml;4.5;R$504,90;Hungria;Licoroso;Suave/Doce;Hárslevelü, Muscat, Furmint;Pajzos;Damasco, mel, figo seco, nozes, frutas em calda;Concentrado, doce, complexo, acidez agradável;Pudim de leite, créme brulée, baklava, fatias húngaras, pastel de Belém, queijos como rockefort, gorgonzola e stilton.;Hárslevelü;N;504.9;2013;0;'Hungria' 'Licoroso' 'Suave/Doce' 'Hárslevelü'
Carillon d'Angélus 2015;0.0;R$1.639,91;França;Tinto;Seco;Merlot (50.00%), Cabernet Franc (40.00%), Cabernet Sauvignon (10.00%);Château Angélus;Ameixa, cereja negra, framboesa, floral, baunilha, especiarias, cacau;Corpo de médio para encorpado, taninos macios, boa acidez, boa persistência;Entrecôte com crosta de parmesão, polenta mole com ragu de linguiça e cogumelos, paleta de cordeiro, arroz de pato, galinha d'angola com recheio de farofa, tagliatelle com ragu de ossobuco.;Merlot;N;1639.91;2015;0;'França' 'Tinto' 'Seco' 'Merlot'
Pavillon Rouge du Château Margaux 2010;0.0;R$3.780,90;França;Tinto;Seco;Cabernet Sauvignon (66.00%), Petit Verdot (4.00%), Merlot (30.00%);Château Margaux;Ameixa, framboesa, groselha, cereja, floral, ervas finas, tosta, mineral;Potente, boa acidez, taninos presentes, elegante, final longo;Ravióli de pato e amêndoas, grelhado de Noix com batata soufflée, filé recheado com brie ao molho de shiitake, blanquette de veau, costeletas de cordeiro grelhadas, tortellini com ragu de de ossobuco.;Cabernet Sauvignon;N;3780.9;2010;0;'França' 'Tinto' 'Seco' 'Cabernet Sauvignon'
Domaine de Baronarques Blanc 2016;2.0;R$444,91;França;Branco;Seco;Chardonnay (100%);Domaine de Baronarques;Pera, pêssego, flores brancas, mel, amadeirado, baunilha, tosta, especiarias;Complexo, suculento, corpo de médio para encorpado, boa acidez, final longo;Ostras frescas, lombo de bacalhau com crosta de amêndoas, lagosta gratinada, pappardelle com frutos do mar, camarões na taça com molho cítrico, queijos moles maturados.;Chardonnay;S;444.91;2016;0;'França' 'Branco' 'Seco' 'Chardonnay'
Château Palmer 2005;0.0;R$6.007,90;França;Tinto;Seco;Petit Verdot (7.00%), Cabernet Sauvignon (53.00%), Merlot (40.00%);Château Palmer;Cereja negra, mirtilo, cassis, ameixa, alcaçuz, framboesa, floral, chocolate, tosta;Concentrado, elegante, potente, taninos presentes, boa acidez, final persistente;Picanha de cordeiro, cogumelos recheados com bacon e queijo brie, risoto de tomate seco e funghi, risoto trufado com ossobuco, baby beef com cebolas carameladas, queijos semi-duros.;Petit Verdot;N;6007.9;2005;0;'França' 'Tinto' 'Seco' 'Petit Verdot'
Château de Beaucastel Hommage à Jacques Perrin 2010;0.0;R$6.227,91;França;Tinto;Seco;Mourvèdre (60.00%), Syrah (20.00%), Grenache (10.00%), Counoise (10.00%);Château de Beaucastel;Mirtilo, amora, alcaçuz, framboesa, anis, ervas frescas, tosta;Denso, exuberante, estruturado, concentrado, boa acidez, taninos presentes, final persistente;Ravioli de cordeiro, ojo de bife com polenta cremosa, conchiglione recheado com queijo e presunto cru, cogumelos recheados, costeleta no bafo, risoto de linguiça toscana.;Mourvèdre;N;6227.91;2010;0;'França' 'Tinto' 'Seco' 'Mourvèdre'
Château Angelus 2015;0.0;R$6.806,90;França;Tinto;Assemblage;Merlot (62.00%), Cabernet Franc (38.00%);Château Angélus;Mirtilo, ameixa seca, framboesa, especiarias, defumado, café;Potente, taninos presentes, boa acidez, final longo;Marreco ao molho de ameixas, carré de javali em redução, arroz de pato, risoto quatro queijos, picanha de cordeiro, mix de queijos maduros.;Merlot;N;6806.9;2015;0;'França' 'Tinto' 'Assemblage' 'Merlot'
Château Ausone 2012;0.0;R$9.981,91;França;Tinto;Seco;Cabernet Franc (55.00%), Merlot (45.00%);Château Ausone;Frutas negras maduras, violeta, cedro, especiarias, ervas frescas, mineral, tosta;Potente, exuberante, elegante, taninos presentes, boa acidez;Risoto de cordeiro, T-bone com legumes, bife ancho ao molho de cogumelos, coq au vin, conchiglione aos quatro queijos, pappardelle ao funghi.;Cabernet Franc;N;9981.91;2012;0;'França' 'Tinto' 'Seco' 'Cabernet Franc'
Château Margaux 2014;0.0;R$8.090,90;França;Tinto;Seco;Cabernet Sauvignon (90.00%), Merlot (5.00%), Cabernet Franc (3.00%), Petit Verdot (2.00%);Château Margaux;Ameixa, figo em compota, groselha madura, anis-estrelado, herbáceo, pimenta-do-reino, chá;Complexo, encorpado, boa acidez, taninos macios, final longo;Risoto trufado com ossobuco, prime rib de red angus, paleta de cordeiro confitada com cuzcuz marroquino, wagyu na brasa com ratatouille, mix de queijos curados, parmentier de canard.;Cabernet Sauvignon;N;8090.9;2014;0;'França' 'Tinto' 'Seco' 'Cabernet Sauvignon'
Chateau Latour 2011;0.0;R$13.489,91;França;Tinto;Seco;Cabernet Sauvignon (84.50%), Merlot (15.00%), Petit Verdot (0.50%);Château Latour;Frutas maduras, especiarias, tabaco, floral;Muito complexo, corpo de médio para encorpado, boa acidez, taninos presentes;Paleta de cordeiro, bife ancho, cogumelos recheados, pappardelle com ossobuco, queijos nobres maturados,;Cabernet Sauvignon;N;13489.91;2011;0;'França' 'Tinto' 'Seco' 'Cabernet Sauvignon'
Domaine de Baronarques 2015;0.0;R$432,91;França;Tinto;Seco;Merlot (57.00%), Cabernet Sauvignon (4.00%), Cabernet Franc (15.00%), Syrah (13.00%), Malbec (11.00%);Domaine de Baronarques;Amora, mirtilo, cereja negra, groselha, alcaçuz, cedro, ervas secas, especiarias, chocolate;Concentrado, suculento, estruturado, frutado, boa acidez, taninos presentes, final longo;Risoto de brie, escalope de filé-mignon, costeleta de cordeiro, pappardelle com ragu de ossobuco, polenta com cogumelos trufado, magret de pato.;Merlot;N;432.91;2015;0;'França' 'Tinto' 'Seco' 'Merlot'
Château Lynch-Bages 2015;0.0;R$2.234,91;França;Tinto;Seco;Cabernet Sauvignon (70.00%), Cabernet Franc (4.00%), Merlot (24.00%), Petit Verdot (2.00%);Château Lynch-Bages;Ameixa, amora, groselha, cereja, pimenta-do-reino, alcaçuz, chá, cacau, defumado;Potente, concentrado, taninos presentes, boa acidez, muito complexo, final persistente;Pernil de porco pururucado, coelho ao forno, angus beef ao chimichurri, tiras de fraldinha ao ratatouille, queijos maduros, picanha argentina na brasa.;Cabernet Sauvignon;N;2234.91;2015;0;'França' 'Tinto' 'Seco' 'Cabernet Sauvignon'
Château Clinet A.O.C Pomerol 2013;0.0;R$1.207,90;França;Tinto;Seco;Merlot (90.00%), Cabernet Sauvignon (9.00%), Cabernet Franc (1.00%);Château Clinet;Groselha, cereja negra, ameixa, mirtilo, alcaçuz, pimenta, tosta;Complexo, boa acidez, taninos macios, potente;Leitão de leite assado, risoto de funghi porcini, costeletas de cordeiro, magret de pato, costela de javali, parpadelle com ragu de filé-mignon.;Merlot;N;1207.9;2013;0;'França' 'Tinto' 'Seco' 'Merlot'
La Capitelle de Baronarques 2015;0.0;R$223,91;França;Tinto;Seco;Cabernet Franc (5%), Merlot (45%), Syrah (32%), Malbec (18%);Domaine de Baronarques;Mirtilo, cassis, groselha negra, alcaçuz, pimenta-do-reino, chocolate, azeitona preta;Estruturado, acidez agradável, taninos presentes, final persistente;Ossobuco com polenta, bife ancho com batatas rústicas, risoto com cordeiro, shiitake recheado, mix de queijos maduros, jamón ibérico.;Cabernet Franc;N;223.91;2015;0;'França' 'Tinto' 'Seco' 'Cabernet Franc'
Opus One 2013;0.0;R$8.259,90;Estados Unidos;Tinto;Seco;Cabernet Sauvignon (79.00%), Cabernet Franc (7.00%), Merlot (6.00%), Petit Verdot (6.00%), Malbec (2.00%);Opus One;Mirtilo, cassis, amora, cereja negra, floral, anis, especiarias, cacau, tabaco;Complexo, exuberante, encorpado, boa acidez, taninos presentes,;Paleta de cordeiro assada, arroz de pato, carré de javali com purê de amoras, cogumelos recheados com bacon e queijo brie, talharim ao funghi com jamón, tornedor de filé-mignon.;Cabernet Sauvignon;N;8259.9;2013;0;'Estados Unidos' 'Tinto' 'Seco' 'Cabernet Sauvignon'
Champagne Jacquart Blancs de Blancs Brut 2012;0.0;R$450,91;França;Espumante;Brut;Chardonnay (100.00%);Jacquart;Frutas brancas maduras, frutas secas, frutas tropicais, mel, castanhas, fermento, brioche;Intenso, cremoso, encorpado, boa acidez, complexo, exuberante;Bacalhau com tomates confitados, lagosta à thermidor, sushis e sahimis, ostras à belle meuniere, perdiz recheada com castanhas, queijo frescos e do tipo mimolette.;Chardonnay;S;450.91;2012;0;'França' 'Espumante' 'Brut' 'Chardonnay'
Fleur du Cap Laszlo 2014;4.5;R$395,90;África do Sul;Tinto;Seco;Merlot (35.00%), Cabernet Sauvignon (32.00%), Petit Verdot (22.00%), Malbec (11.00%);Fleur Du Cap;Frutas negras em compota, frutas vermelhas maduras, couro, tabaco, amadeirado, chocolate;Complexo, intenso, encorpado, acidez agradável, taninos presentes, amadeirado, bom final;Alcatra ao molho de vinho, talharim com ragu de cordeiro, pizza de bacon, lasanha de cogumelos, picanha grelhada, ossobuco com polenta, risoto de parmesão, churrasco.;Merlot;N;395.9;2014;0;'África do Sul' 'Tinto' 'Seco' 'Merlot'
Beni di Batasiolo Briccolina D.O.C.G. Barolo 2010;4.0;R$655,90;Itália;Tinto;Seco;Nebbiolo (100%);Beni di Batasiolo;Frutas maduras, floral, especiarias, defumado, amadeirado;Estruturado, intenso, taninos presentes, boa acidez;Ossobuco com polenta, risoto de açafrão com trufas brancas, bife ancho de Angus com batata assada, ravióli de linguiça Blumenau, bife de chorizo com mousseline de mandioquinha, fettucini alla matriciana.;Nebbiolo;S;655.9;2010;0;'Itália' 'Tinto' 'Seco' 'Nebbiolo'
Gallo Family Vineyards Califórnia Moscato;4.5;R$49,90;Estados Unidos;Branco;Suave/Doce;Moscato;Wine.com.br;floral e com frutas brancas maduras como pêssego;Frutas brancas cítricas, frutas brancas maduras, mel e levemente doce;Saladas e queijos leves.;Moscato;S;49.9;0;0;'Estados Unidos' 'Branco' 'Suave/Doce' 'Moscato'
Calyptra Sol Vita Late Harvest Sauvignon Blanc 2010 375ml;3.0;R$105,90;Chile;Licoroso;Suave/Doce;Sauvignon Blanc (100.00%);Calyptra;Damasco cristalizado, maracujá maduro, mel, pimenta;Intenso, doce, fresco, final longo;Mousse de maracujá, creme brûlée, bolo de tâmara com calda de damasco, cheesecake de gorgonzola e peras, arroz doce, e queijos azuis.;Sauvignon Blanc;S;105.9;2010;0;'Chile' 'Licoroso' 'Suave/Doce' 'Sauvignon Blanc'
Herdade da Farizoa Grande Reserva D.O.C. Alentejo 2013;5.0;R$302,91;Portugal;Tinto;Seco;Syrah (80%), Touriga Nacional (5%), Aragonez (15%);Herdade da Farizoa;Frutas negras, especiarias, figo, cacau, amadeirado;Encorpado, taninos presentes, boa acidez;Costeleta de cordeiro, risoto de tomate seco com queijo brie, fettuccine à carbonara, escalope de mignon, cozido à alentejana, churrasco.;Syrah;N;302.91;2013;0;'Portugal' 'Tinto' 'Seco' 'Syrah'
Chateau Langlet A.O.C. Graves Blanc 2015;4.5;R$114,90;França;Branco;Seco;Sauvignon Blanc (100.00%);Château Langlet;Maracujá, herbáceo;Corpo de leve para médio, boa acidez, frutado, bom final;Salmão ao molho Béarnaise, caldeirada, supremo de frango, lombo de porco com abacaxi, spaghetti al limone, e queijos frescos.;Sauvignon Blanc;S;114.9;2015;0;'França' 'Branco' 'Seco' 'Sauvignon Blanc'
Champagne Devaux D Aged 5 Years Rosé Brut;0.0;R$487,90;França;Espumante;Brut;Pinot Noir, Chardonnay;Devaux;Morango, cereja, framboesa, floral, fermento, frutas secas, brioche;Elegante, frutado, frutas secas, fermento, boa cremosidade, fresco, corpo de leve para médio, agradável persistência;Ostras gratinadas, vieiras com borda de bacon em manteiga aromatizada, vitello tonnato, queijo de cabra e molho de mel, risoto de ostras frescas com amêndoas laminadas, magret de pato em seu próprio molho com purê de castanhas.;Pinot Noir;N;487.9;0;0;'França' 'Espumante' 'Brut' 'Pinot Noir'
Bodegas Alceño Calaña D.O. Jumilla Red Blend 2016;4.0;R$64,91;Espanha;Tinto;Meio Seco/Demi-Sec;Monastrell (85%), Syrah (15%);Bodegas Alceño;Frutas negras maduras, especiarias;Frutado, saboroso, taninos presentes, boa acidez, médio corpo, bom final;Paleta suína com legumes, risoto de paio e couve crocante, lasanha gratinada, picanha assada, massa aos quatro queijos, cogumelos salteados.;Monastrell;N;64.91;2016;0;'Espanha' 'Tinto' 'Meio Seco/Demi-Sec' 'Monastrell'
Champagne Devaux Cuvée D Aged 5 Years Brut;5.0;R$398,91;França;Espumante;Brut;Pinot Noir (55.00%), Chardonnay (45.00%);Devaux;Flores brancas, brioche, baunilha, especiarias;Elegante, cremoso, boa acidez, final agradável;Ostras gratinadas, risoto de limão siciliano com amêndoas, ceviche de salmão, steak tartare, codorna recheada, tagliatelle com frutos do mar.;Pinot Noir;N;398.91;0;0;'França' 'Espumante' 'Brut' 'Pinot Noir'
Champagne Devaux Ultra D Aged 5 Years Extra Brut;4.0;R$391,90;França;Espumante;Extra Brut;Pinot Noir (55.00%), Chardonnay (45.00%);Devaux;Frutas brancas, mineral, floral;Elegante, complexo, mineral, acidez presente, final persistente;Salmão defumado com legumes salteados, lula recheada, ceviche de peixe branco, bruscheta de cogumelo funghi porcini, paella, fettuccine com camarão.;Pinot Noir;N;391.9;0;0;'França' 'Espumante' 'Extra Brut' 'Pinot Noir'
Ropiteau Frères Bourgogne Hautes-Côtes de Nuits 2014;2.0;R$210,90;França;Tinto;Seco;Pinot Noir (100.00%);Ropiteau Frères;Frutas vermelhas frescas, especiarias, amadeirado;Delicado, leve, boa acidez, taninos macios, bom final;Medalhão de mignon, magret de pato, tagliatelle à carbonara, costeleta de cordeiro com couscous marroquino, bruschetta de queijo brie, queijos semimoles.;Pinot Noir;S;210.9;2014;0;'França' 'Tinto' 'Seco' 'Pinot Noir'
Champagne La Grande Dame Rosé 2004;0.0;R$2.207,90;Espumante;Brut;750 ml;Pinot Noir (67.00%), Chardonnay (33.00%);Veuve Clicquot;Toque mineral e de amêndoas, discreta fruta vermelha como groselha e notas de fermento;Muito fresco, com boa estrutura, e final gracioso com traços minerais e frutados;Codorna recheada (assada) com purê de ameixa e macadâmias, lombo de porco com molho de jabuticaba, risoto de tomate seco, magret de pato, atum grelhado com crosta de gergelim, e queijos semiduros.;Pinot Noir;N;2207.9;2004;0;'Espumante' 'Brut' '750 ml' 'Pinot Noir'
Moët Ice Impérial Rosé 750 Ml;5.0;R$687,91;França;Espumante;Meio Seco/Demi-Sec;Pinot Noir, Pinot Meunier, Chardonnay;Moët & Chandon;Frutas vermelhas como cereja e amora, com delicadas notas de figo.;Cremoso, frutado, com boa acidez e doçura presente.;Risoto de tomate seco e mussarela de búfala, lombo ao molho de frutas vermelhas, carpaccio de salmão, camarões grelhados, frutos do mar à provençal, casquinha de siri.;Pinot Noir;N;687.91;0;0;'França' 'Espumante' 'Meio Seco/Demi-Sec' 'Pinot Noir'
Champagne Dom Ruinart Rosé Brut 1998 Com Estojo;0.0;R$2.783,90;França;Espumante;Brut;Chardonnay (85.00%), Pinot Noir (15.00%);Maison Ruinart;Morango, cereja, groselha, maçã, floral, fermento;Complexo, elegante, cremoso, boa presença, final persistente;Lagosta grelhada, camarão à provençal, carpaccio de carne, fettuccine com frutos do mar, risoto de trufas, ostras frescas.;Chardonnay;N;2783.9;1998;0;'França' 'Espumante' 'Brut' 'Chardonnay'
Veuve Clicquot Rich 750 Ml;0.0;R$618,90;França;Espumante;Suave/Doce;Pinot Noir (45%), Pinot Meunier (40%), Chardonnay (15%);Veuve Clicquot;Cítrico e floral.;Tem boa estrutura e frescor, é cremoso e doce.;Perfeito para uso na coquetelaria, onde recomenda-se colocar gelo na taça, acrescentar um único ingrediente como laranja ou abacaxi, aipo ou pepino, e completar com o champagne. Também perfeito para acompanhar sobremesas à base de frutas cítricas ou tropicais.;Pinot Noir;N;618.9;0;0;'França' 'Espumante' 'Suave/Doce' 'Pinot Noir'
Champagne Jacquart Brut Rosé Mosaique;5.0;R$337,90;França;Espumante;Brut;Pinot Noir (45%), Chardonnay (34%), Pinot Meunier (21%);Jacquart;Framboesa, groselha, cereja, morango, brioche;Fresco, frutado, cremoso, pêssego, damasco, bom corpo, final persistente;Ostras gratinadas, fettuccine com camarão, carpaccio de salmão, risoto de parmesão, casquinha de siri, bruschetta de tomate com queijo brie.;Pinot Noir;N;337.9;0;0;'França' 'Espumante' 'Brut' 'Pinot Noir'
Espumante Cava Maset Del Lleó Brut;3.5;R$66,90;Espanha;Espumante;Brut;Xarel-lo (40%), Macabeo (30%), Parellada (30%);Maset del Lleó;Frutas cítricas, maçã, fermento, floral;Corpo de leve para médio, boa acidez. cremoso, cítrico;Carpaccio de carne de sol, bolinho de bacalhau, cestinhas de massa folhada com salada de feijão branco, fettuccine na manteiga com tilápia frita, abobrinhas verde recheada, ravióli de bacalhau.;Xarel-lo;N;66.9;0;0;'Espanha' 'Espumante' 'Brut' 'Xarel-lo'
Ropiteau Pinot Noir 2014;2.5;R$193,90;França;Tinto;Seco;Pinot Noir;Ropiteau Frères;Frutas como cereja, framboesa e morango, associadas a leve nota mentolada, nuance defumada e de especiarias.;Aveludado, notas frutadas com toque da madeira, acidez equilibrada e boa persistência.;Polenta mole com ragu de linguiça e cogumelos, talharim de pupunha com molho branco, rosbife de alcatra, marinada de legumes e cogumelos, risoto primavera com tiras de mignon, chester ao forno.;Pinot Noir;S;193.9;2014;0;'França' 'Tinto' 'Seco' 'Pinot Noir'
Porto Burmester 30 years Old Tawny;5.0;R$583,91;Portugal;Licoroso;Suave/Doce;Castas tradicionais no Douro;Burmester;Frutas secas, amêndoas, nozes, mel, tosta;Aveludado, doce, complexo, caramelo, frutas secas, final longo;Torta com nozes e amêndoas, pratos com chocolate meio amargo ou amargo, frutas secas e cristalizadas. Vinho de meditação, vai bem como aperitivo ou para fechar a refeição.;Castas tradicionais no Douro;S;583.91;0;0;'Portugal' 'Licoroso' 'Suave/Doce' 'Castas tradicionais no Douro'
Porto Burmester 20 years Old Tawny;5.0;R$340,90;Portugal;Licoroso;Suave/Doce;Castas tradicionais no Douro;Burmester;Complexos aromas de carvalho, frutos secos, uvas passas e mel;Opulento, concentrado, rico, maduro e com final longo e aveludado;Terrina de foie gras com berinjela e nozes, brownie de caramelo, pavê de chocolate e pistache, crostini de nozes com queijo chèvre, mix de queijos e frutos secos.;Castas tradicionais no Douro;S;340.9;0;0;'Portugal' 'Licoroso' 'Suave/Doce' 'Castas tradicionais no Douro'
Porto Burmester Tordiz 40 Years Old Tawny;5.0;R$957,91;Portugal;Licoroso;Suave/Doce;Castas tradicionais no Douro;Burmester;Intenso, frutas secas, especiarias,mel;Encorpado, untuoso, aveludado, complexo, saboroso, final longo;Perfeito para queijos azuis como o stilton, o roquefort e o gorgonzola. Ótimo para acompanhar sobremesas à base de frutas secas, castanhas diversas ou com especiarias.;Castas tradicionais no Douro;S;957.91;0;0;'Portugal' 'Licoroso' 'Suave/Doce' 'Castas tradicionais no Douro'
Porto Burmester Jockey Club Reserve Tawny.;5.0;R$132,91;Portugal;Licoroso;Suave/Doce;Castas tradicionais no Douro;Burmester;Frutas secas, especiarias, com notas de caramelo e toque de torrefação.;Intenso, encorpado, untuoso, elegante, com notas de especiarias.;Frutas secas, torta de amêndoas, strudel de maçã, pavê de chocolate, alfajor, queijos azuis.;Castas tradicionais no Douro;S;132.91;0;0;'Portugal' 'Licoroso' 'Suave/Doce' 'Castas tradicionais no Douro'
Beni di Batasiolo Muscatel Tardì D.O.C. Piemonte Moscato Passito 2011 375 ml;4.0;R$289,90;Itália;Branco;Suave/Doce;Moscato Bianco (100%);Beni di Batasiolo;Figos secos, mel, ameixas, damasco e pêssego em calda, flor de laranjeira, flores secas e nuance almiscarada.;Persistente, doce, estruturado, intenso e com notas de mel.;Zabaglione, pastel de Belém, panna cotta de café, Crepe de banana com sorvete de creme, foie-gras com queijo de cabra e queijos salgados.;Moscato Bianco;S;289.9;2011;0;'Itália' 'Branco' 'Suave/Doce' 'Moscato Bianco'
Champagne Veuve Clicquot Vintage Rosé 2004;5.0;R$796,90;França;Espumante;Brut;Pinot Noir, Chardonnay, Pinot Meunier;Veuve Clicquot;Morango, cereja, framboesa e toques de brioche.;Intenso, fresco, frutado e cremoso.;Salmão, ceviche, canapés, moqueca com lagosta e camarão, ostras, foie gras.;Pinot Noir;N;796.9;2004;0;'França' 'Espumante' 'Brut' 'Pinot Noir'
Château Margaux Premier Grand Cru Classé A.O.C. Margaux 2008;0.0;R$7.744,90;França;Tinto;Seco;Cabernet Sauvignon (87.00%), Merlot (10.00%), Petit Verdot (1.50%), Cabernet Sauvignon (1.50%);Château Margaux;Flores como violeta e rosa, groselha, framboesa, cassis, amora, ameixa, cereja, café, cacau, tabaco e alcaçuz;As frutas dominam o paladar e mesclam-se às notas do amadurecimento em barricas de carvalho. Enquanto os taninos maduros e firmes, combinam bem com a acidez presente. O final de boca permanece por longo tempo;Risoto trufado com ossobuco, prime rib red angus, paleta de cordeiro confitada com cuzcuz marroquino, wagyu na brasa com ratatouille, mix de queijos curados, parmentier de canard.;Cabernet Sauvignon;N;7744.9;2008;0;'França' 'Tinto' 'Seco' 'Cabernet Sauvignon'
Château Haut-Brion Le Clarence de Haut-Brion 2010;0.0;R$2.433,91;França;Tinto;Seco;Merlot (52.00%), Cabernet Sauvignon (36.00%), Petit Verdot (2.00%), Cabernet Franc (10.00%);Domaine Clarence Dillon;Mirtilo, amora, picante, mineral, terroso, cacau;Estruturado, boa densidade, taninos presentes, equilibrado, elegante, bom frescor, final longo;Chanfana de cordeiro, coelho à caçadora, risoto trufado de abóbora com ragu de pato, bife ancho com arroz biro-biro, ravióli com molho de cogumelos morilles, queijos duros.;Merlot;N;2433.91;2010;0;'França' 'Tinto' 'Seco' 'Merlot'
Le Petit Mouton 2010;0.0;R$4.241,91;França;Tinto;Seco;Cabernet Franc (8.00%), Cabernet Sauvignon (68.00%), Merlot (24.00%);Château Mouton Rothschild;Rico e complexo, com frutas como amoras, mirtilos, cassis e ameixas, acompanhadas por um toque picante, além de notas de cedro, café, tabaco e chocolate;Seco, com ótima intensidade no paladar, muita elegância e textura aveludada. É harmônico e tem bom frescor que lhe garante a clássica fineza de um vinho de Pauillac;Pernil de cordeiro ao molho de vinho e ervas, carré de javali ao molho poivre, risoto com funghi porcini com costeletas de cordeiro, pappardelle com lascas de confit de canard, pizza de jamon e grana padano.;Cabernet Franc;N;4241.91;2010;0;'França' 'Tinto' 'Seco' 'Cabernet Franc'
Château Haut-Brion 2007;4.0;R$6.476,91;França;Tinto;Seco;Cabernet Sauvignon (44.00%), Merlot (43.00%), Cabernet Franc (13.00%);Domaine Clarence Dillon;Complexo, com notas de framboesas, cerejas, violetas e alcaçuz, sobre nuances de chocolate, tabaco e um traço mineral;Tem bom corpo, acidez agradável, estrutura firme e taninos sedosos. Um vinho elegante com sabores duradouros;Picanha de cordeiro com molho roti, tournedos rossini, entrecôte à la bordelaise, penne com ragu de pato, risoto de tomate seco e funghi, queijos como edam, estepe, morbier, reino, saint paulin.;Cabernet Sauvignon;N;6476.91;2007;0;'França' 'Tinto' 'Seco' 'Cabernet Sauvignon'
Château Gazin 2009;0.0;R$2.181,91;França;Tinto;Seco;Merlot (90.00%), Cabernet Sauvignon (7.00%), Cabernet Franc (3.00%);Château Gazin;Cereja preta, baunilha, brioche, floral, alcaçuz, mentol, especiarias;Aveludado, equilibrado, fresco, taninos presentes;Coq au vin, magret de pato, terrine de foie gras, risoto de brie, fettuccine Alfredo, escalope de mignon.;Merlot;N;2181.91;2009;0;'França' 'Tinto' 'Seco' 'Merlot'
Château Mouton Rothschild Premier Grand Cru Classé A.O.C. Pauillac 2008;5.0;R$8.596,90;França;Tinto;Seco;Cabernet Sauvignon (83.00%), Merlot (17.00%);Château Mouton Rothschild;Amora e groselha associadas às notas de violeta, torrefação, tosta, tabaco, chocolate e toques sutis de cedro;Suculento, harmonioso, maduro, taninos aveludados, frutas negras, como cassis, e notas do amadurecimento;Ossobuco ao molho de vinho tinto, carré de cabrito com purê de baroa, confit de canard, risoto de cogumelos trufado, T-bone grelhado com batatas rústicas, baby beef com cebolas carameladas.;Cabernet Sauvignon;N;8596.9;2008;0;'França' 'Tinto' 'Seco' 'Cabernet Sauvignon'
L`Hospitalet De Gazin 2010;5.0;R$596,90;França;Tinto;Seco;Merlot (90.00%), Cabernet Sauvignon (7.00%), Cabernet Franc (3.00%);Château Gazin;Ameixa, cereja preta, alcaçuz, notas de especiarias e toque amadeirado;Complexo, elegante, macio, equilibrado, com boa estrutura, notas de café e chocolate;Pernil de cordeiro assado, risoto caprese, linguine ao ragu de carne, picanha ao forno, ravioli ao pomodoro, codorna ao molho de vinho.;Merlot;N;596.9;2010;0;'França' 'Tinto' 'Seco' 'Merlot'
Marsala Vergine Soleras Dop;0.0;R$285,91;Itália;Licoroso;Seco;Grillo, Catarratto;Cantine Pellegrino;Frutas secas, madeira, mel, especiarias.;Seco, maduro e harmonioso.;Queijos fortes, frutas secas, nozes e cheesecake.;Grillo;N;285.91;0;0;'Itália' 'Licoroso' 'Seco' 'Grillo'
Tokaji Pajzos Icewine 2003 375 ml;0.0;R$502,90;Hungria;Branco;Suave/Doce;Furmint (100.00%);Pajzos;Frutas brancas maduras, mel, figo seco, frutas cítricas, chá, floral, mineral, nozes;Doce, equilibrado, acidez agradável, final longo;Pavê de pêssegos em calda, peras cozidas em especiarias com sorvete de baunilha, frutas flambadas ao rum e caramelizadas, apfelstrudel, torta de frutas secas, queijos azuis.;Furmint;S;502.9;2003;0;'Hungria' 'Branco' 'Suave/Doce' 'Furmint'
